 v_i      u      x      Error   
4.90856e-07 0.162692 0.020198 0.999997
4.90365e-07 0.163408 0.020298 0.999997
4.89875e-07 0.164124 0.020398 0.999997
4.89386e-07 0.164839 0.020498 0.999997
4.88897e-07 0.165553 0.0205979 0.999997
4.88408e-07 0.166267 0.0206979 0.999997
4.8792e-07 0.166979 0.0207979 0.999997
4.87432e-07 0.167691 0.0208979 0.999997
4.86945e-07 0.168402 0.0209979 0.999997
4.86458e-07 0.169112 0.0210979 0.999997
4.85972e-07 0.169821 0.0211979 0.999997
4.85487e-07 0.17053 0.0212979 0.999997
4.85001e-07 0.171237 0.0213979 0.999997
4.84517e-07 0.171944 0.0214979 0.999997
4.84032e-07 0.17265 0.0215978 0.999997
4.83549e-07 0.173356 0.0216978 0.999997
4.83065e-07 0.17406 0.0217978 0.999997
4.82583e-07 0.174764 0.0218978 0.999997
4.821e-07 0.175467 0.0219978 0.999997
4.81619e-07 0.176169 0.0220978 0.999997
4.81137e-07 0.17687 0.0221978 0.999997
4.80656e-07 0.177571 0.0222978 0.999997
4.80176e-07 0.17827 0.0223978 0.999997
4.79696e-07 0.178969 0.0224978 0.999997
4.79217e-07 0.179667 0.0225977 0.999997
4.78738e-07 0.180364 0.0226977 0.999997
4.78259e-07 0.181061 0.0227977 0.999997
4.77781e-07 0.181757 0.0228977 0.999997
4.77304e-07 0.182451 0.0229977 0.999997
4.76827e-07 0.183146 0.0230977 0.999997
4.7635e-07 0.183839 0.0231977 0.999997
4.75874e-07 0.184531 0.0232977 0.999997
4.75399e-07 0.185223 0.0233977 0.999997
4.74924e-07 0.185914 0.0234977 0.999997
4.74449e-07 0.186604 0.0235976 0.999997
4.73975e-07 0.187293 0.0236976 0.999997
4.73501e-07 0.187982 0.0237976 0.999997
4.73028e-07 0.18867 0.0238976 0.999997
4.72555e-07 0.189357 0.0239976 0.999998
4.72083e-07 0.190043 0.0240976 0.999998
4.71611e-07 0.190728 0.0241976 0.999998
4.7114e-07 0.191413 0.0242976 0.999998
4.70669e-07 0.192097 0.0243976 0.999998
4.70198e-07 0.19278 0.0244976 0.999998
4.69729e-07 0.193462 0.0245975 0.999998
4.69259e-07 0.194144 0.0246975 0.999998
4.6879e-07 0.194824 0.0247975 0.999998
4.68322e-07 0.195504 0.0248975 0.999998
4.67854e-07 0.196183 0.0249975 0.999998
4.67386e-07 0.196862 0.0250975 0.999998
4.66919e-07 0.197539 0.0251975 0.999998
4.66452e-07 0.198216 0.0252975 0.999998
4.65986e-07 0.198892 0.0253975 0.999998
4.6552e-07 0.199567 0.0254975 0.999998
4.65055e-07 0.200242 0.0255974 0.999998
4.6459e-07 0.200916 0.0256974 0.999998
4.64126e-07 0.201589 0.0257974 0.999998
4.63662e-07 0.202261 0.0258974 0.999998
4.63199e-07 0.202932 0.0259974 0.999998
4.62736e-07 0.203603 0.0260974 0.999998
4.62273e-07 0.204273 0.0261974 0.999998
4.61811e-07 0.204942 0.0262974 0.999998
4.6135e-07 0.20561 0.0263974 0.999998
4.60889e-07 0.206278 0.0264974 0.999998
4.60428e-07 0.206944 0.0265973 0.999998
4.59968e-07 0.20761 0.0266973 0.999998
4.59508e-07 0.208276 0.0267973 0.999998
4.59049e-07 0.20894 0.0268973 0.999998
4.5859e-07 0.209604 0.0269973 0.999998
4.58132e-07 0.210267 0.0270973 0.999998
4.57674e-07 0.210929 0.0271973 0.999998
4.57217e-07 0.21159 0.0272973 0.999998
4.5676e-07 0.212251 0.0273973 0.999998
4.56303e-07 0.212911 0.0274973 0.999998
4.55847e-07 0.21357 0.0275972 0.999998
4.55392e-07 0.214229 0.0276972 0.999998
4.54937e-07 0.214886 0.0277972 0.999998
4.54482e-07 0.215543 0.0278972 0.999998
4.54028e-07 0.216199 0.0279972 0.999998
4.53574e-07 0.216855 0.0280972 0.999998
4.53121e-07 0.217509 0.0281972 0.999998
4.52668e-07 0.218163 0.0282972 0.999998
4.52215e-07 0.218816 0.0283972 0.999998
4.51764e-07 0.219468 0.0284972 0.999998
4.51312e-07 0.22012 0.0285971 0.999998
4.50861e-07 0.220771 0.0286971 0.999998
4.5041e-07 0.221421 0.0287971 0.999998
4.4996e-07 0.22207 0.0288971 0.999998
4.49511e-07 0.222719 0.0289971 0.999998
4.49061e-07 0.223367 0.0290971 0.999998
4.48613e-07 0.224014 0.0291971 0.999998
4.48164e-07 0.22466 0.0292971 0.999998
4.47716e-07 0.225306 0.0293971 0.999998
4.47269e-07 0.225951 0.0294971 0.999998
4.46822e-07 0.226595 0.029597 0.999998
4.46375e-07 0.227238 0.029697 0.999998
4.45929e-07 0.227881 0.029797 0.999998
4.45484e-07 0.228523 0.029897 0.999998
4.45038e-07 0.229164 0.029997 0.999998
4.44594e-07 0.229804 0.030097 0.999998
4.44149e-07 0.230444 0.030197 0.999998
4.43705e-07 0.231083 0.030297 0.999998
4.43262e-07 0.231721 0.030397 0.999998
4.42819e-07 0.232359 0.030497 0.999998
4.42376e-07 0.232995 0.0305969 0.999998
4.41934e-07 0.233631 0.0306969 0.999998
4.41493e-07 0.234267 0.0307969 0.999998
4.41051e-07 0.234901 0.0308969 0.999998
4.40611e-07 0.235535 0.0309969 0.999998
4.4017e-07 0.236168 0.0310969 0.999998
4.3973e-07 0.2368 0.0311969 0.999998
4.39291e-07 0.237432 0.0312969 0.999998
4.38852e-07 0.238063 0.0313969 0.999998
4.38413e-07 0.238693 0.0314969 0.999998
4.37975e-07 0.239322 0.0315968 0.999998
4.37537e-07 0.239951 0.0316968 0.999998
4.371e-07 0.240579 0.0317968 0.999998
4.36663e-07 0.241206 0.0318968 0.999998
4.36227e-07 0.241832 0.0319968 0.999998
4.35791e-07 0.242458 0.0320968 0.999998
4.35355e-07 0.243083 0.0321968 0.999998
4.3492e-07 0.243707 0.0322968 0.999998
4.34486e-07 0.244331 0.0323968 0.999998
4.34051e-07 0.244954 0.0324968 0.999998
4.33618e-07 0.245576 0.0325967 0.999998
4.33184e-07 0.246197 0.0326967 0.999998
4.32751e-07 0.246818 0.0327967 0.999998
4.32319e-07 0.247438 0.0328967 0.999998
4.31887e-07 0.248057 0.0329967 0.999998
4.31455e-07 0.248676 0.0330967 0.999998
4.31024e-07 0.249294 0.0331967 0.999998
4.30593e-07 0.249911 0.0332967 0.999998
4.30163e-07 0.250527 0.0333967 0.999998
4.29733e-07 0.251143 0.0334967 0.999998
4.29303e-07 0.251758 0.0335966 0.999998
4.28874e-07 0.252372 0.0336966 0.999998
4.28446e-07 0.252986 0.0337966 0.999998
4.28018e-07 0.253598 0.0338966 0.999998
4.2759e-07 0.25421 0.0339966 0.999998
4.27162e-07 0.254822 0.0340966 0.999998
4.26736e-07 0.255432 0.0341966 0.999998
4.26309e-07 0.256042 0.0342966 0.999998
4.25883e-07 0.256652 0.0343966 0.999998
4.25457e-07 0.25726 0.0344966 0.999998
4.25032e-07 0.257868 0.0345965 0.999998
4.24607e-07 0.258475 0.0346965 0.999998
4.24183e-07 0.259082 0.0347965 0.999998
4.23759e-07 0.259687 0.0348965 0.999998
4.23336e-07 0.260292 0.0349965 0.999998
4.22913e-07 0.260897 0.0350965 0.999998
4.2249e-07 0.2615 0.0351965 0.999998
4.22068e-07 0.262103 0.0352965 0.999998
4.21646e-07 0.262705 0.0353965 0.999998
4.21224e-07 0.263307 0.0354965 0.999998
4.20804e-07 0.263908 0.0355964 0.999998
4.20383e-07 0.264508 0.0356964 0.999998
4.19963e-07 0.265107 0.0357964 0.999998
4.19543e-07 0.265706 0.0358964 0.999998
4.19124e-07 0.266304 0.0359964 0.999998
4.18705e-07 0.266901 0.0360964 0.999998
4.18286e-07 0.267498 0.0361964 0.999998
4.17868e-07 0.268094 0.0362964 0.999998
4.17451e-07 0.268689 0.0363964 0.999998
4.17034e-07 0.269283 0.0364964 0.999998
4.16617e-07 0.269877 0.0365963 0.999998
4.162e-07 0.27047 0.0366963 0.999998
4.15785e-07 0.271063 0.0367963 0.999998
4.15369e-07 0.271654 0.0368963 0.999998
4.14954e-07 0.272245 0.0369963 0.999998
4.14539e-07 0.272836 0.0370963 0.999998
4.14125e-07 0.273426 0.0371963 0.999998
4.13711e-07 0.274015 0.0372963 0.999998
4.13298e-07 0.274603 0.0373963 0.999998
4.12885e-07 0.27519 0.0374963 0.999998
4.12472e-07 0.275777 0.0375962 0.999999
4.1206e-07 0.276364 0.0376962 0.999999
4.11648e-07 0.276949 0.0377962 0.999999
4.11236e-07 0.277534 0.0378962 0.999999
4.10825e-07 0.278118 0.0379962 0.999999
4.10415e-07 0.278702 0.0380962 0.999999
4.10005e-07 0.279284 0.0381962 0.999999
4.09595e-07 0.279867 0.0382962 0.999999
4.09186e-07 0.280448 0.0383962 0.999999
4.08777e-07 0.281029 0.0384962 0.999999
4.08368e-07 0.281609 0.0385961 0.999999
4.0796e-07 0.282188 0.0386961 0.999999
4.07552e-07 0.282767 0.0387961 0.999999
4.07145e-07 0.283345 0.0388961 0.999999
4.06738e-07 0.283922 0.0389961 0.999999
4.06332e-07 0.284499 0.0390961 0.999999
4.05925e-07 0.285075 0.0391961 0.999999
